Station;zona;etapa;zona_etapa;Species;Cuando;hora_redondeo;time_1;time_2
E14;media;2018;media_2018;Gato_2018;28/08/2018 19:31;28/08/2018 20:00;19:31:00;0,81319444
E14;media;2018;media_2018;Gato_2018;29/08/2018 12:37;29/08/2018 13:00;12:37:00;0,52569444
E14;media;2018;media_2018;Gato_2018;29/08/2018 14:10;29/08/2018 14:00;14:10:00;0,59027778
E14;media;2018;media_2018;Gato_2018;29/08/2018 16:49;29/08/2018 17:00;16:49:00;0,70069444
E14;media;2018;media_2018;Gato_2018;29/08/2018 17:48;29/08/2018 18:00;17:48:00;0,74166667
E14;media;2018;media_2018;Gato_2018;30/08/2018 1:33;30/08/2018 2:00;1:33:00;0,06458333
E14;media;2018;media_2018;Gato_2018;30/08/2018 21:09;30/08/2018 21:00;21:09:00;0,88125
E14;media;2018;media_2018;Gato_2018;30/08/2018 23:46;31/08/2018 0:00;23:46:00;0,99027778
E14;media;2018;media_2018;Gato_2018;31/08/2018 3:21;31/08/2018 3:00;3:21:00;0,13958333
E14;media;2018;media_2018;Gato_2018;31/08/2018 19:39;31/08/2018 20:00;19:39:00;0,81875
E14;media;2018;media_2018;Gato_2018;31/08/2018 19:39;31/08/2018 20:00;19:39:00;0,81875
E14;media;2018;media_2018;Gato_2018;01/09/2018 0:15;01/09/2018 0:00;0:15:00;0,01041667
E14;media;2018;media_2018;Gato_2018;01/09/2018 0:53;01/09/2018 1:00;0:53:00;0,03680556
E15;media;2018;media_2018;Gato_2018;21/08/2018 19:53;21/08/2018 20:00;19:53:00;0,82847222
E15;media;2018;media_2018;Gato_2018;24/08/2018 0:04;24/08/2018 0:00;0:04:00;0,00277778
E15;media;2018;media_2018;Gato_2018;24/08/2018 23:06;24/08/2018 23:00;23:06:00;0,9625
E20;baja;2018;baja_2018;Gato_2018;29/08/2018 0:59;29/08/2018 1:00;0:59:00;0,04097222
E21;media;2018;media_2018;Gato_2018;18/08/2018 3:07;18/08/2018 3:00;3:07:00;0,12986111
E22;media;2018;media_2018;Gato_2018;21/08/2018 13:21;21/08/2018 13:00;13:21:00;0,55625
E23;media;2018;media_2018;Gato_2018;22/08/2018 16:59;22/08/2018 17:00;16:59:00;0,70763889
E23;media;2018;media_2018;Gato_2018;22/08/2018 21:59;22/08/2018 22:00;21:59:00;0,91597222
E23;media;2018;media_2018;Gato_2018;24/08/2018 7:52;24/08/2018 8:00;7:52:00;0,32777778
E27;baja;2018;baja_2018;Gato_2018;24/08/2018 9:40;24/08/2018 10:00;9:40:00;0,40277778
E27;baja;2018;baja_2018;Gato_2018;24/08/2018 23:35;25/08/2018 0:00;23:35:00;0,98263889
E30;media;2018;media_2018;Gato_2018;23/08/2018 14:49;23/08/2018 15:00;14:49:00;0,61736111
E32;media;2018;media_2018;Gato_2018;03/09/2018 13:14;03/09/2018 13:00;13:14:00;0,55138889
E32;media;2018;media_2018;Gato_2018;04/09/2018 14:31;04/09/2018 15:00;14:31:00;0,60486111
E32;media;2018;media_2018;Gato_2018;05/09/2018 12:11;05/09/2018 12:00;12:11:00;0,50763889
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 11:36;03/09/2018 12:00;11:36:00;0,48333333
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 11:44;03/09/2018 12:00;11:44:00;0,48888889
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 11:53;03/09/2018 12:00;11:53:00;0,49513889
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 12:04;03/09/2018 12:00;12:04:00;0,50277778
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 12:09;03/09/2018 12:00;12:09:00;0,50625
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 12:30;03/09/2018 13:00;12:30:00;0,52083333
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 12:40;03/09/2018 13:00;12:40:00;0,52777778
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 13:16;03/09/2018 13:00;13:16:00;0,55277778
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 13:47;03/09/2018 14:00;13:47:00;0,57430556
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 14:25;03/09/2018 14:00;14:25:00;0,60069444
