"","Station","Species","Cuando","hora_redondeo"
"128","E14","Gato_2018","31/08/2018 3:21","31/08/2018 3:00"
"129","E14","Gato_2018","31/08/2018 19:39","31/08/2018 20:00"
"130","E14","Gato_2018","31/08/2018 19:39","31/08/2018 20:00"
"131","E14","Gato_2018","01/09/2018 0:15","01/09/2018 0:00"
"132","E14","Gato_2018","01/09/2018 0:53","01/09/2018 1:00"
"133","E15","Gato_2018","21/08/2018 19:53","21/08/2018 20:00"
"134","E15","Gato_2018","24/08/2018 0:04","24/08/2018 0:00"
"135","E15","Gato_2018","24/08/2018 23:06","24/08/2018 23:00"
"136","E20","Gato_2018","29/08/2018 0:59","29/08/2018 1:00"
"137","E21","Gato_2018","18/08/2018 3:07","18/08/2018 3:00"
"138","E22","Gato_2018","21/08/2018 13:21","21/08/2018 13:00"
"139","E23","Gato_2018","22/08/2018 16:59","22/08/2018 17:00"
"140","E23","Gato_2018","22/08/2018 21:59","22/08/2018 22:00"
"141","E23","Gato_2018","24/08/2018 7:52","24/08/2018 8:00"
"142","E27","Gato_2018","24/08/2018 9:40","24/08/2018 10:00"
"143","E27","Gato_2018","24/08/2018 23:35","25/08/2018 0:00"
"144","E30","Gato_2018","23/08/2018 14:49","23/08/2018 15:00"
"145","E32","Gato_2018","03/09/2018 13:14","03/09/2018 13:00"
"146","E32","Gato_2018","04/09/2018 14:31","04/09/2018 15:00"
"147","E32","Gato_2018","05/09/2018 12:11","05/09/2018 12:00"
"148","E33","Gato_2018","03/09/2018 11:36","03/09/2018 12:00"
"149","E33","Gato_2018","03/09/2018 11:44","03/09/2018 12:00"
"150","E33","Gato_2018","03/09/2018 11:53","03/09/2018 12:00"
"151","E33","Gato_2018","03/09/2018 12:04","03/09/2018 12:00"
"152","E33","Gato_2018","03/09/2018 12:09","03/09/2018 12:00"
"153","E33","Gato_2018","03/09/2018 12:30","03/09/2018 13:00"
"154","E33","Gato_2018","03/09/2018 12:40","03/09/2018 13:00"
"155","E33","Gato_2018","03/09/2018 13:16","03/09/2018 13:00"
"156","E33","Gato_2018","03/09/2018 13:47","03/09/2018 14:00"
"157","E33","Gato_2018","03/09/2018 14:25","03/09/2018 14:00"
"158","E33","Gato_2018","03/09/2018 15:28","03/09/2018 15:00"
"159","E33","Gato_2018","03/09/2018 15:28","03/09/2018 15:00"
"160","E33","Gato_2018","03/09/2018 15:50","03/09/2018 16:00"
"161","E33","Gato_2018","03/09/2018 15:50","03/09/2018 16:00"
"162","E33","Gato_2018","03/09/2018 17:38","03/09/2018 18:00"
"163","E33","Gato_2018","03/09/2018 18:15","03/09/2018 18:00"
"164","E33","Gato_2018","03/09/2018 18:15","03/09/2018 18:00"
